source_node,target_node,weight
1,8226,5.9
1,1479,0.3
1,1125,5.2
1,5779,4.8
2,8147,2
2,403,3.5
2,6604,5.5
2,7286,9.3
3,2253,5.3
3,1502,3.6
3,1769,9.6
3,6308,4.2
4,795,4.1
4,9339,7.7
4,7274,5.9
4,3378,5.7
5,7214,3.3
5,446,2.1
5,8738,1.8
5,9400,4.9
6,3899,6.7
6,4546,4.3
6,5624,1.5
6,6544,8.5
7,3739,0.2
7,6645,9.8
7,375,5.6
7,3691,4.4
8,5145,5.9
8,5991,2.6
8,1644,6.8
8,2748,8.2
9,1800,9
9,207,8.5
9,3323,5.5
9,8443,8.1
10,6490,3.9
10,6278,1.1
10,5338,2.6
10,2211,7.3
11,1194,9.4
11,730,4.2
11,8099,6.1
11,1877,8.5
12,803,5.1
12,6044,0.6
12,9350,3.5
12,8195,4.3
13,4791,2.6
13,3938,6.7
13,3413,8.1
13,5494,2.1
14,9577,3.3
14,5062,7
14,4535,10
14,6408,2.6
15,3475,8.9
15,3237,2
15,6646,5
15,714,8.1
16,4481,9.7
16,2720,1.1
16,4273,4.9
16,8255,9.8
17,8324,3
17,191,2.7
17,491,8.8
17,431,1.9
18,9536,0.8
18,4041,4.2
18,9418,2.7
18,1317,8
19,4926,7.5
19,8398,3.6
19,6200,3.6
19,2882,7.9
20,7755,3.5
20,7389,1.9
20,7701,6.9
20,1528,6.5
21,22,2.1
21,5038,8
21,2371,7.8
21,5968,5.9
22,3766,5.2
22,6649,9.7
22,824,4.5
22,1956,1.1
23,9218,3.3
23,5821,4.5
23,6048,7.7
23,3893,0.4
24,4919,6.7
24,1706,6.3
24,5561,0.7
24,2214,0.5
25,8534,4.4
25,8231,9.1
25,7045,0.1
25,415,6.7
26,8996,5
26,1693,9.6
26,2540,0.2
26,1708,9.4
27,5512,4.2
27,8170,2.4
27,119,1.6
27,4859,7.6
28,8528,2.4
28,2703,6.3
28,8422,7.9
28,7345,4.6
29,3532,4.2
29,1506,4.8
29,2682,8.5
29,454,6.6
30,4673,0.8
30,5501,8.3
30,1916,5.2
30,4020,7.9
31,1223,0.7
31,6253,6.9
31,2516,3
31,9724,5.9
32,460,3.1
32,7700,5.5
32,1491,5.4
32,9554,2
33,8479,1.5
33,279,5.5
33,3786,3.2
33,7292,8.3
34,4038,6.9
34,8081,5.7
34,4784,0.5
34,5174,1.2
35,3096,5.9
35,94,3.2
35,1984,1.7
35,2497,1.3
36,8083,3.9
36,7697,3.5
36,153,3.9
36,8767,9.5
37,2328,6.3
37,7486,0.8
37,572,2.8
37,504,5.1
38,8586,3
38,1425,3.6
38,6081,0.4
38,7049,8.2
39,595,9.4
39,7237,4.5
39,9139,4.8
39,1088,7.3
40,9790,6.4
40,142,1
40,1663,2.2
40,8817,4.2
41,3358,4.3
41,1440,1.5
41,5129,3.2
41,5268,3.8
42,6374,8.9
42,1205,2.6
42,5383,1.4
42,4357,7.7
43,9743,10
43,603,9.9
43,4772,3.9
43,2402,4.1
44,4997,4.6
44,1699,1.3
44,6222,3.6
44,5297,7
45,5338,4.2
45,7971,1.1
45,1416,5.3
45,1287,1.5
46,3713,3.3
46,613,8.4
46,2441,7
46,4642,2.4
47,2052,9.8
47,3398,3.6
47,7083,1.9
47,4480,2.3
48,9679,2.6
48,3784,9.6
48,7598,5.6
48,4933,5.6
49,291,7.6
49,2129,8.1
49,9106,0.6
49,2169,5.6
50,2404,1.4
50,8217,5.4
50,4416,8.8
50,1048,5.3
51,8363,3.1
51,9744,5
51,6146,9.5
51,960,2.8
52,9765,9.9
52,5957,3.1
52,8038,0.6
52,4519,4.5
53,4034,5.4
53,9872,2.9
53,1439,8.7
53,8818,3.9
54,6343,1.3
54,105,6.8
54,4803,9.6
54,1247,6.2
55,9468,0.7
55,207,5.8
55,9438,1.9
55,5548,3.5
56,511,9.4
56,2531,0.6
56,8894,1.9
56,6445,9.2
57,6175,1.5
57,4682,4.7
57,7366,3.6
57,7739,0.9
58,9377,6.9
58,8814,0.9
58,5579,3.5
58,2351,5.2
59,8255,6.3
59,5645,9.1
59,1850,5.2
59,4779,9.4
60,964,9.7
60,4264,3.2
60,8927,7.4
60,5937,4.8
61,4577,2.3
61,949,1.5
61,7711,7.4
61,8266,8.6
62,4683,1.9
62,6094,1.5
62,5056,8.8
62,464,3.1
63,330,2.6
63,2288,7.5
63,2907,6.9
63,788,8.7
64,7356,9.4
64,3901,4.2
64,4305,9.1
64,1050,3.6
65,8128,7.5
65,2283,6
65,707,2.8
65,2568,2.2
