node_id,latitude,longitude
1,29.041,77.467
2,29.334,77.5
3,29.169,77.724
4,29.478,77.358
5,29.962,77.464
6,29.705,77.145
7,29.281,77.827
8,29.961,77.491
9,29.995,77.942
10,29.827,77.436
11,29.391,77.604
12,29.902,77.153
13,29.292,77.382
14,29.421,77.716
15,29.718,77.895
16,29.447,77.726
17,29.771,77.538
18,29.869,77.912
19,29.667,77.299
20,29.035,77.894
21,29.703,77.811
22,29.322,77.333
23,29.673,77.664
24,29.141,77.711
25,29.253,77.868
26,29.547,77.644
27,29.662,77.757
28,29.037,77.859
29,29.723,77.741
30,29.529,77.778
31,29.316,77.035
32,29.19,77.842
33,29.288,77.106
34,29.04,77.942
35,29.264,77.648
36,29.446,77.805
37,29.89,77.729
38,29.37,77.35
39,29.006,77.101
40,29.393,77.548
41,29.629,77.623
42,29.084,77.954
43,29.756,77.84
44,29.966,77.376
45,29.931,77.308
46,29.944,77.439
47,29.626,77.323
48,29.537,77.538
49,29.118,77.082
50,29.929,77.541
51,29.833,77.115
52,29.639,77.658
53,29.704,77.93
54,29.977,77.306
55,29.673,77.386
56,29.021,77.745
57,29.924,77.072
58,29.27,77.829
59,29.777,77.573
60,29.097,77.512
61,29.986,77.29
62,29.161,77.636
63,29.355,77.767
64,29.655,77.574
65,29.031,77.052
66,29.35,77.15
67,29.941,77.724
68,29.966,77.43
69,29.107,77.191
70,29.007,77.337
71,29.457,77.287
72,29.753,77.383
73,29.945,77.909
74,29.209,77.758
75,29.221,77.588
76,29.422,77.946
77,29.506,77.03
78,29.413,77.168
79,29.9,77.591
80,29.762,77.655
81,29.41,77.359
82,29.624,77.537
83,29.548,77.483
84,29.595,77.041
85,29.602,77.35
86,29.291,77.836
87,29.374,77.02
88,29.596,77.021
89,29.348,77.199
90,29.668,77.484
91,29.281,77.734
92,29.053,77.999
93,29.418,77.938
94,29.9,77.788
95,29.127,77.467
96,29.728,77.893
97,29.648,77.483
98,29.807,77.421
99,29.31,77.617
100,29.813,77.514
101,29.309,77.616
102,29.935,77.451
103,29.6,77.249
104,29.519,77.556
105,29.798,77.303
106,29.224,77.008
107,29.844,77.609
108,29.989,77.702
109,29.195,77.485
110,29.093,77.343
111,29.523,77.587
112,29.314,77.503
113,29.448,77.2
114,29.458,77.618
115,29.58,77.796
116,29.798,77.281
117,29.589,77.798
118,29.009,77.157
119,29.472,77.622
120,29.538,77.292
121,29.038,77.179
122,29.19,77.657
123,29.958,77.191
124,29.815,77.888
125,29.156,77.511
126,29.202,77.634
127,29.272,77.055
128,29.328,77.646
129,29.362,77.886
130,29.875,77.433
131,29.869,77.142
132,29.844,77.416
133,29.881,77.998
134,29.322,77.651
135,29.021,77.699
136,29.557,77.476
137,29.892,77.389
138,29.075,77.712
139,29.6,77.51
140,29.003,77.869
141,29.861,77.688
142,29.401,77.789
143,29.255,77.423
144,29.002,77.585
145,29.182,77.285
146,29.088,77.426
147,29.617,77.757
148,29.832,77.932
149,29.169,77.154
150,29.721,77.189
151,29.976,77.329
152,29.368,77.692
153,29.425,77.555
154,29.434,77.549
155,29.441,77.512
156,29.145,77.06
157,29.718,77.753
158,29.139,77.423
159,29.279,77.996
160,29.687,77.529
161,29.549,77.437
162,29.866,77.949
163,29.193,77.195
164,29.297,77.416
165,29.286,77.105
166,29.488,77.282
167,29.455,77.734
168,29.114,77.701
169,29.316,77.671
170,29.786,77.263
171,29.313,77.355
172,29.185,77.053
173,29.912,77.808
174,29.832,77.945
175,29.313,77.756
176,29.321,77.558
177,29.646,77.982
178,29.481,77.144
179,29.196,77.222
180,29.129,77.161
181,29.535,77.45
182,29.173,77.466
183,29.044,77.659
184,29.292,77.439
185,29.253,77.024
186,29.154,77.51
187,29.745,77.649
188,29.186,77.313
189,29.474,77.022
190,29.168,77.018
191,29.787,77.905
192,29.958,77.391
193,29.202,77.625
194,29.477,77.414
195,29.314,77.824
196,29.334,77.874
197,29.372,77.159
198,29.833,77.07
199,29.487,77.297
200,29.518,77.177
201,29.773,77.27
202,29.763,77.668
203,29.192,77.985
204,29.102,77.48
205,29.213,77.627
206,29.802,77.099
207,29.527,77.625
208,29.543,77.924
209,29.023,77.972
210,29.061,77.181
211,29.003,77.432
212,29.505,77.593
213,29.725,77.031
214,29.492,77.142
215,29.222,77.286
216,29.064,77.9
217,29.187,77.36
218,29.413,77.974
219,29.27,77.17
220,29.235,77.833
221,29.711,77.76
222,29.896,77.667
223,29.285,77.55
224,29.14,77.694
225,29.695,77.624
226,29.019,77.125
227,29.576,77.694
228,29.658,77.302
229,29.371,77.466
230,29.678,77.593
231,29.851,77.484
232,29.018,77.464
233,29.119,77.152
234,29.8,77.087
235,29.06,77.926
236,29.01,77.757
237,29.17,77.315
238,29.576,77.227
239,29.043,77.758
240,29.164,77.109
241,29.882,77.086
242,29.565,77.487
243,29.577,77.474
244,29.625,77.627
245,29.629,77.928
246,29.423,77.52
247,29.902,77.962
248,29.123,77.596
249,29.737,77.261
250,29.195,77.525
251,29.264,77.26
252,29.202,77.116
253,29.03,77.326
254,29.011,77.771
255,29.411,77.547
256,29.153,77.52
257,29.79,77.924
258,29.188,77.763
259,29.94,77.851
260,29.662,77.829
261,29.9,77.713
262,29.958,77.578
263,29.365,77.007
264,29.477,77.2
265,29.058,77.439
266,29.303,77.76
267,29.357,77.324
268,29.477,77.108
269,29.113,77.887
270,29.801,77.85
271,29.46,77.428
272,29.993,77.384
273,29.405,77.54
274,29.111,77.704
275,29.835,77.356
276,29.072,77.35
277,29.823,77.485
278,29.556,77.216
279,29.626,77.357
280,29.526,77.357
281,29.337,77.271
282,29.869,77.361
283,29.896,77.022
284,29.617,77.112
285,29.717,77.696
286,29.585,77.041
287,29.423,77.129
288,29.229,77.565
289,29.559,77.932
290,29.296,77.855
291,29.053,77.962
292,29.584,77.734
293,29.654,77.972
294,29.457,77.369
295,29.532,77.963
296,29.607,77.483
297,29.911,77.635
298,29.067,77.848
299,29.675,77.938
300,29.223,77.142
301,29.754,77.511
302,29.741,77.175
303,29.459,77.825
304,29.221,77.87
305,29.626,77.934
306,29.205,77.783
307,29.85,77.398
308,29.279,77.701
309,29.193,77.734
310,29.637,77.534
311,29.556,77.993
312,29.176,77.705
313,29.962,77.548
